Bureau of Justice Statistics,,,,
filename:  mpjif03.csv,,,,
"Figure 3. Injuries reported by inmates since admission, by physical inmpairment or mental and time served",,,,
report title: Medical Problems of Jail Inmates   NCJ 210696,,,,
data source:  2002 Survey of Inmates in Local Jails,,,,
author:  Laura M. Maruschak,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
date of version: 11/07/06,,,,

"Figure 3. Injuries reported by inmates since admission, by physical inmpairment or mental and time served",,,,
,Percent injured,,,
Time served since admission,Impairment,,No impairment,
7 days or less,4.7,%,4.1,%
8-14 days,7.8,,3.6,
15-30 days,11.4,,4.8,
31-60 days,18,,10.4,
61-180 days,21.6,,13.8
181-365 days,26.7,,17.8
365+ days,30.8,,29.6
