Bureau of Justice Statistics,,,,,,,
filename:  mpjiht02.csv,,,,,,,
Highlight table 2. Percent of jail inmates who reported impairments,,,,,,,
report title: Medical Problems of Jail Inmates   NCJ 210696,,,,,,,
data source:  2002 Survey of Inmates in Local Jails,,,,,,,
author:  Laura M. Maruschak,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
date of version: 10/20/06,,,,,,,

Highlight table 2. Percent of jail inmates who reported impairments,,,,,,,
,,,,Percent of jail inmates,,,
Type of impairment,,Total,,Convicted,,Unconvicted,
Physical,,33.9,,32.7,,34.3,
,Learning,21.7,%,20.8,%,21.4,%
,Speech,3.7,,3.4,,4.4,
,Hearing,6.4,,6.3,,6,
,Vision,11.3,,10.5,,12.3
,Mobility*,1.7,,1.4,,2.3
Mental,,8.3,,7.2,,9.3
"*Includes use of a cane, wheelchair, walker, hearing aid, or other aids in daily activity.",,,,,,
