Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:  mpjit05.csv,,,,,,,,,,,,,,,
"Table 5. Impairments of jail inmates, by gender and age, 2002",,,,,,,,,,,,,,,
report title: Medical Problems of Jail Inmates   NCJ 210696,,,,,,,,,,,,,,,
data source:  2002 Survey of Inmates in Local Jails,,,,,,,,,,,,,,,
author:  Laura M. Maruschak,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,
date of version: 10/18/06,,,,,,,,,,,,,,,

"Table 5. Impairments of jail inmates, by gender and age, 2002",,,,,,,,,,,,,,,
,,Percent of inmates who reported an impairment,,,,,,,,,,,,,
,,Any impairment,,Learning,,Speech,,Hearing,,Vision,,Mobility*,,Mental,
Gender,,,,,,,,,,,,,,,
,Male,36.3,%,22.1,%,3.8,%,6.3,%,10.8,%,1.7,%,7.5,%
,Female,38.7,,18,,3.3,,7.6,,14.4,,1.7,,14.9,
Age,,,,,,,,,,,,,,,
,24 or younger,37.5,%,28.4,%,4,%,4,%,7.3,%,0.3,%,7.1,%
,25-34,33,,21.1,,3.3,,5.2,,8.2,,1,,7.2,
,35-44,36.5,,19.8,,3.9,,8.1,,13.5,,1.8,,10.5,
,45 or older,44,,10.7,,4.1,,12,,24.1,,6.9,,9.9,
"*Includes use of a cane, wheelchair, walker, hearing aid, or other aids in daily activity.",,,,,,,,,,,,,,,
