"Bureau of Justice Statistics",,,,,,,,,
"filename:  mhts00a1.csv",,,,,,,,,
"Appendix table: A  Mental health screening and treatment in State correctional facilities, June 30, 2000",,,,,,,,,
"report title: Mental Health Treatment in State Prisons, 2000  NCJ 188215",,,,,,,,,
"data source:  2000 Census of State and Federal Adult Correctional Facilities",,,,,,,,,
"author:  Allen J. Beck and Laura M. Maruschak",,,,,,,,,
"refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version: 7/10/01",,,,,,,,,
,,,,,,,,,
"Appendix table A.  Mental health screening and treatment in State correctional facilities, June 30, 2000",,,,,,,,,
,,,,,,,,,
,,"Number of facilities, by type of policy",,,,,,,
" Region and State","  Total* ","Screen ","Conduct ","Provide 24- ","Provide ","Distribute ","Help released ",,
,,"inmates ","psychiatric ","hour mental ","therapy/ ","psychotropic","inmates obtain ","No services ","No data"
,,"at intake ","assessments","health care","counseling","medications","services","provided","reported"
"Total",1558,1055,990,776,1073,1115,1006,125,39
"Northeast",233,154,163,152,173,178,167,5,3
"Connecticut",20,17,17,13,18,16,16,0,0
"Maine",8,6,5,3,7,7,6,0,0
"Massachusetts",25,20,17,15,21,20,20,0,2
"New Hampshire",8,4,5,4,7,7,7,0,0
"New Jersey",43,27,24,14,23,30,25,3,0
"New York",69,31,52,66,53,43,40,0,0
"Pennsylvania",44,36,29,32,29,40,39,2,0
"Rhode Island",7,7,7,0,7,7,7,0,0
"Vermont",9,6,7,5,8,8,7,0,1
"Midwest",301,190,167,140,207,210,196,25,1
"Illinois",48,30,30,32,31,31,34,4,0
"Indiana",25,17,14,14,15,13,13,4,0
"Iowa",30,11,12,12,10,21,23,2,1
"Kansas",11,9,8,9,9,10,11,0,0
"Michigan",70,39,43,35,40,31,32,10,0
"Minnesota",9,1,1,1,8,9,8,0,0
"Missouri",28,27,0,0,27,27,27,1,0
"Nebraska",9,2,2,0,9,9,0,0,0
"North Dakota",3,2,2,1,2,2,2,1,0
"Ohio",34,34,34,26,33,32,29,0,0
"South Dakota",4,2,3,1,3,4,3,0,0
"Wisconsin",30,16,18,9,20,21,14,3,0
"South",730,527,497,338,514,535,471,59,17
"Alabama",35,16,21,13,21,26,11,3,1
"Arkansas",15,12,12,12,12,12,12,3,0
"Delaware",9,8,8,2,8,8,5,0,1
"District of Columbia",6,2,2,3,2,3,4,2,0
"Florida",106,98,90,1,88,88,85,8,0
"Georgia",83,54,45,38,41,47,48,6,2
"Kentucky",25,15,12,8,13,12,14,1,0
"Louisiana",17,12,11,11,10,11,11,0,5
"Maryland",26,12,14,13,18,18,22,2,0
"Mississippi",28,12,11,5,8,9,2,9,1
"North Carolina",80,49,55,31,68,73,61,0,2
"Oklahoma",52,37,30,25,33,37,20,4,3
"South Carolina",34,19,18,17,21,22,20,5,0
"Tennessee",15,14,14,15,15,15,14,0,0
"Texas",127,117,114,111,114,118,109,2,2
"Virginia",61,44,34,31,34,30,29,14,0
"West Virginia",11,6,6,2,8,6,4,0,0
,,,,,,,,,
"West",294,184,163,146,179,192,172,36,18
"Alaska",24,16,10,6,12,19,18,1,1
"Arizona",16,15,13,13,14,14,12,0,1
"California",86,50,35,28,41,36,38,13,12
"Colorado",47,16,30,32,34,38,35,0,3
"Hawaii",10,10,9,9,10,9,1,0,0
"Idaho",13,7,5,6,5,10,7,1,0
"Montana",8,6,5,4,6,6,4,0,1
"Nevada",20,11,10,7,10,9,9,7,0
"New Mexico",10,10,10,8,10,9,8,0,0
"Oregon",13,13,10,7,9,12,11,0,0
"Utah",8,6,5,4,5,6,7,0,0
"Washington",30,17,15,17,17,17,15,13,0
"Wyoming",9,7,6,5,6,7,7,1,0
,,,,,,,,,
"*Includes 1,295 State-operated facilities, 22 facilities under joint State and local authority, 3 facilities operated by the District of Columbia, ",,,,,,,,,
"and 238 private facilities with more than 50% of their inmates held for State authorities. ",,,,,,,,,
